date,close
2024-08-02,107.27
2024-08-09,104.75
2024-08-16,124.58
2024-08-23,129.37
2024-08-30,119.37
2024-09-06,102.83
2024-09-13,119.10
2024-09-20,116.00
2024-09-27,121.40
2024-10-04,124.92
2024-10-11,134.80
2024-10-18,138.00
2024-10-25,141.54
2024-11-01,135.40
2024-11-08,147.63
2024-11-15,141.98
2024-11-22,141.95
2024-11-29,138.25
2024-12-06,142.44
2024-12-13,134.25
2024-12-20,134.70
2024-12-27,137.01
2025-01-03,144.47
2025-01-10,135.91
2025-01-17,137.71
2025-01-24,142.62
2025-01-31,120.07
2025-02-07,129.84
2025-02-14,138.85
2025-02-21,134.43
2025-02-28,124.92
2025-03-07,112.69
2025-03-14,121.67
2025-03-21,117.70
2025-03-28,109.67
2025-04-04,94.31
2025-04-11,110.93
2025-04-17,101.49
2025-04-25,111.01
2025-05-02,114.50
2025-05-09,116.65
2025-05-16,135.40
2025-05-23,131.29
2025-05-30,135.13
2025-06-06,141.72
2025-06-13,141.97
2025-06-20,143.85
2025-06-27,157.75
2025-07-03,159.34
2025-07-11,164.92
2025-07-18,172.41
2025-07-25,173.50
2025-08-01,173.72
2025-08-08,182.70
2025-08-15,180.45
2025-08-22,177.99
2025-08-29,174.18
2025-09-05,167.02
2025-09-12,177.82
2025-09-19,176.67
2025-09-26,178.19
2025-10-03,187.62
2025-10-10,183.16
2025-10-17,183.22
2025-10-24,186.26
2025-10-31,202.49
2025-11-07,188.15
2025-11-14,190.17
2025-11-21,178.88
2025-11-28,177.00
2025-12-05,182.41
2025-12-12,175.02
2025-12-19,180.99
2025-12-26,190.53
2026-01-02,188.85
2026-01-09,184.86
2026-01-16,186.23
2026-01-23,187.67
2026-01-30,191.13
2026-02-06,185.41
2026-02-13,182.81
